id,name
0,Apr_3_Milan.jpg
1,Apr_9_Milan.jpg
2,Apr_15_Sondrio.jpg
3,Apr_28_Milan.jpg
4,Aug_4_Milan.jpg
5,Aug_12_Olbia.jpg
6,Aug_19_Oristano.jpg
7,Aug_24_Milan.PNG
8,Dec_4_Milan.jpg
9,Dec_13_Milan.jpg
10,Dec_20_Milan.jpg
11,Dec_26_Milan.jpg
12,Feb_2_Milan.jpg
13,Feb_14_Milan.PNG
14,Feb_15_Milan.jpg
15,Feb_27_Milan.jpg
16,Jan_4_Milan.jpg
17,Jan_10_Milan.jpg
18,Jan_17_Milan.jpg
19,Jul_4_Sondrio.jpg
20,Jul_16_Sondrio.jpg
21,Jul_31_Sondrio.jpg
22,Jun_1_Milan.jpg
23,Jun_10_Milan.jpg
24,Jun_19_Sondrio.jpg
25,Mar_3_Milan.jpg
26,Mar_10_Varese.jpg
27,Mar_15_Geneve.jpg
28,Mar_22_Milan.jpg
29,May_27_Milan.jpg
30,Nov_6_Milan.jpg
31,Nov_12_Milan.JPG
32,Nov_23_Milan.jpg
33,Nov_30_Varese.JPG
34,Oct_3_Milan.jpg
35,Oct_8_Milan.jpg
36,Oct_17_Milan.jpg
37,Oct_27_Milan.jpg
38,Sep_3_Milan.PNG
39,Sep_10_Milan.jpg
40,Sep_21_Varese.jpg
41,Sept_25_Milan.png
